20230808	 21:00:28	 0b2028b0-5e8f-42ff-9c55-3dbcbbeca584 	 GET	 undefined 	 /
20230808	 21:00:28	 8378276a-31df-4645-ab1b-ef47acc3db2e 	 GET	 undefined 	 /index.js
20230809	 08:39:29	 4f62af26-9d16-425c-ad30-fd2762125a36 	 GET	 undefined 	 /new-page.html
20230809	 08:39:29	 2e48a655-5508-401d-bde3-da0678309d0f 	 GET	 undefined 	 /css/style.css
20230809	 08:39:29	 b457d805-1210-479f-a70a-5d563813c54f 	 GET	 undefined 	 /img/profile-800x800.png
20230809	 08:39:29	 b3abd3de-8fd1-4867-b6ec-09300b016c1f 	 GET	 undefined 	 /favicon.ico
20230809	 18:21:07	 4d04313e-8b7c-43d4-b856-e317638eb4b6 	 GET	 undefined 	 /
20230809	 18:21:08	 baace0d5-307e-4f30-b52f-27a591dfa99b 	 GET	 undefined 	 /index.js
20230809	 18:21:08	 0f30ac00-6af3-4dcd-9cd9-d981c2b8efe2 	 GET	 undefined 	 /favicon.ico
20230809	 19:05:59	 ca97b158-c015-43b5-b8eb-31e665b3d355 	 OPTIONS	 https://www.google.com 	 /
20230809	 19:05:59	 3e6fe624-5017-4be4-b73e-71a870323731 	 GET	 https://www.google.com 	 /
20230809	 19:30:56	 dd3582af-9713-4526-a008-321e79a2ae4f 	 GET	 undefined 	 /
20230809	 19:31:20	 2ae92b06-3878-43d6-b97f-136099fe2359 	 GET	 undefined 	 /
20230809	 19:31:21	 d25319de-254d-4f64-a408-250013da6d86 	 GET	 undefined 	 /
20230809	 19:31:34	 27ee0862-d6ef-489b-b965-90999f65f5e7 	 GET	 undefined 	 /
20230809	 19:31:52	 6c4ad2c9-4342-425d-a20c-a5c5af6be251 	 GET	 undefined 	 /
20230809	 19:32:44	 84e9358f-4302-4257-b2f3-b092219ed461 	 GET	 undefined 	 /
20230809	 19:32:44	 6d8b39f0-6386-484b-a6f3-3292f3fbf236 	 GET	 undefined 	 /index.js
20230809	 19:52:05	 9ee8055d-fea2-41ac-8bb0-97d77957451f 	 GET	 undefined 	 /
20230809	 19:52:05	 42bf55f6-dc9c-46dd-ab08-cce331b878af 	 GET	 undefined 	 /index.js
20230809	 19:52:52	 e0ea3bc6-71ed-4ef1-a00c-54ce2588f4a2 	 GET	 undefined 	 /
20230809	 20:03:05	 a3fa091c-530b-4286-8acf-2106b7a21fc7 	 GET	 undefined 	 /
20230809	 20:03:05	 e2ddb838-68bd-4c8c-baf3-6fe702669722 	 GET	 undefined 	 /index.js
20230809	 20:03:06	 9a49fc1d-0a2d-432c-93c4-499ff2f8341c 	 GET	 undefined 	 /
20230809	 20:03:06	 d05df912-a97d-4092-8b44-8638ed88919e 	 GET	 undefined 	 /index.js
20230809	 20:03:23	 8f311342-5f56-43cc-baa3-2b5a891f53b1 	 GET	 undefined 	 /hello.json
20230809	 20:03:23	 2ead6e1f-c645-43e1-91fe-88f1c9bec809 	 GET	 undefined 	 /css/style.css
20230920	 18:26:27	 c64fe009-cdf8-464a-8d14-1b77fffc7883 	 GET	 undefined 	 /
20230920	 18:26:27	 69f5d1f9-e3d5-4fa6-8a87-90344a76b86d 	 GET	 undefined 	 /index.js
20230920	 18:26:28	 d6ed1892-0a9f-47b7-936e-48b925f91bb9 	 GET	 undefined 	 /favicon.ico
20230920	 18:26:40	 a75d5ef9-f6ae-4601-992d-e07a775ec8db 	 GET	 undefined 	 /
20230920	 18:26:40	 d667e9ba-81a2-473d-b033-a8e1de796583 	 GET	 undefined 	 /index.js
20230920	 18:26:46	 8e5d4717-f787-4385-b954-deb699feb707 	 GET	 undefined 	 /new-page
20230920	 18:26:47	 328f44c4-ee46-41df-bbec-be96e5d1ba1f 	 GET	 undefined 	 /css/style.css
20230920	 18:26:47	 10d2e25d-5597-42c4-a654-8be13d2f235e 	 GET	 undefined 	 /img/profile-800x800.png
20230920	 18:26:55	 4b14c57c-3ac3-4166-8604-8a22d363fa2b 	 GET	 undefined 	 /subdir/
20230920	 18:26:56	 81e5fb6e-2b39-447f-b59b-dc9d96287d2f 	 GET	 undefined 	 /css/style.css
20230920	 18:27:24	 77aa4bc2-60d1-4784-a22f-a9dcdfb35747 	 GET	 undefined 	 /about
20230920	 18:27:24	 e77c20af-fea2-473d-9db5-91c6979d28f5 	 GET	 undefined 	 /css/style.css
20230920	 18:27:29	 d7643260-b7c6-457e-9ecb-2c7b98b5288e 	 GET	 undefined 	 /about.html
20230920	 18:27:29	 ac638086-9387-4363-8f93-77f9f573d450 	 GET	 undefined 	 /css/style.css
