20230808	 21:00:28	 0b2028b0-5e8f-42ff-9c55-3dbcbbeca584 	 GET	 undefined 	 /
20230808	 21:00:28	 8378276a-31df-4645-ab1b-ef47acc3db2e 	 GET	 undefined 	 /index.js
20230809	 08:39:29	 4f62af26-9d16-425c-ad30-fd2762125a36 	 GET	 undefined 	 /new-page.html
20230809	 08:39:29	 2e48a655-5508-401d-bde3-da0678309d0f 	 GET	 undefined 	 /css/style.css
20230809	 08:39:29	 b457d805-1210-479f-a70a-5d563813c54f 	 GET	 undefined 	 /img/profile-800x800.png
20230809	 08:39:29	 b3abd3de-8fd1-4867-b6ec-09300b016c1f 	 GET	 undefined 	 /favicon.ico
20230809	 18:21:07	 4d04313e-8b7c-43d4-b856-e317638eb4b6 	 GET	 undefined 	 /
20230809	 18:21:08	 baace0d5-307e-4f30-b52f-27a591dfa99b 	 GET	 undefined 	 /index.js
20230809	 18:21:08	 0f30ac00-6af3-4dcd-9cd9-d981c2b8efe2 	 GET	 undefined 	 /favicon.ico
20230809	 19:05:59	 ca97b158-c015-43b5-b8eb-31e665b3d355 	 OPTIONS	 https://www.google.com 	 /
20230809	 19:05:59	 3e6fe624-5017-4be4-b73e-71a870323731 	 GET	 https://www.google.com 	 /
20230809	 19:30:56	 dd3582af-9713-4526-a008-321e79a2ae4f 	 GET	 undefined 	 /
20230809	 19:31:20	 2ae92b06-3878-43d6-b97f-136099fe2359 	 GET	 undefined 	 /
20230809	 19:31:21	 d25319de-254d-4f64-a408-250013da6d86 	 GET	 undefined 	 /
20230809	 19:31:34	 27ee0862-d6ef-489b-b965-90999f65f5e7 	 GET	 undefined 	 /
20230809	 19:31:52	 6c4ad2c9-4342-425d-a20c-a5c5af6be251 	 GET	 undefined 	 /
20230809	 19:32:44	 84e9358f-4302-4257-b2f3-b092219ed461 	 GET	 undefined 	 /
20230809	 19:32:44	 6d8b39f0-6386-484b-a6f3-3292f3fbf236 	 GET	 undefined 	 /index.js
20230809	 19:52:05	 9ee8055d-fea2-41ac-8bb0-97d77957451f 	 GET	 undefined 	 /
20230809	 19:52:05	 42bf55f6-dc9c-46dd-ab08-cce331b878af 	 GET	 undefined 	 /index.js
20230809	 19:52:52	 e0ea3bc6-71ed-4ef1-a00c-54ce2588f4a2 	 GET	 undefined 	 /
20230809	 20:03:05	 a3fa091c-530b-4286-8acf-2106b7a21fc7 	 GET	 undefined 	 /
20230809	 20:03:05	 e2ddb838-68bd-4c8c-baf3-6fe702669722 	 GET	 undefined 	 /index.js
20230809	 20:03:06	 9a49fc1d-0a2d-432c-93c4-499ff2f8341c 	 GET	 undefined 	 /
20230809	 20:03:06	 d05df912-a97d-4092-8b44-8638ed88919e 	 GET	 undefined 	 /index.js
20230809	 20:03:23	 8f311342-5f56-43cc-baa3-2b5a891f53b1 	 GET	 undefined 	 /hello.json
20230809	 20:03:23	 2ead6e1f-c645-43e1-91fe-88f1c9bec809 	 GET	 undefined 	 /css/style.css
20230809	 20:28:17	 578fdfc4-229f-461c-a9ef-aa192d532791 	 GET	 undefined 	 /new-page.html
20230809	 20:28:17	 b2f0684d-2613-47af-bf07-5225c2102da0 	 GET	 undefined 	 /img/profile-800x800.png
20230809	 20:28:17	 64604e89-26c7-4596-9ec1-382d3afee4e2 	 GET	 undefined 	 /css/style.css
20230809	 20:28:17	 f6fed39b-b1ae-495f-bcaa-68c05edbc618 	 GET	 undefined 	 /favicon.ico
20230809	 20:28:23	 119bbca2-aa99-4b0a-9ac9-96055f1e3755 	 GET	 undefined 	 /
20230809	 20:28:23	 45fe8fe3-960f-4b54-bcfa-93a85c8a1be2 	 GET	 undefined 	 /index.js
20230809	 20:30:40	 bbde6f0f-8209-416c-9c64-2038cbdea07a 	 GET	 undefined 	 /subdir/
20230809	 20:31:06	 011ba856-7bbc-4c34-8bcb-e8fc94f9d758 	 GET	 undefined 	 /subdir/about
20230809	 20:31:06	 ab24e8fe-58a8-4f56-97b4-0a75c98062ef 	 GET	 undefined 	 /css/style.css
